"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.847738750E0,1.756332185E-1,3.522625834E-2,2.816019058E-2,1.813309490E-1
2.857748750E0,4.282668851E-2,1.921800714E-2,-1.821875453E-1,1.881376058E-1
2.867788750E0,-4.296029739E-2,5.709776849E-2,-3.147953796E-1,3.228031496E-1
2.877828750E0,-3.029055052E-2,1.602491576E-1,-3.463247359E-2,1.667234782E-1
2.887838750E0,-7.144566625E-5,2.368875168E-1,1.977961028E-1,3.086081642E-1
2.897878750E0,-4.551421501E-2,1.794137358E-1,2.012757808E-1,2.734461049E-1
2.907888750E0,-7.364926256E-2,9.963041514E-2,9.678077459E-2,1.572162582E-1
2.917928750E0,-1.504121309E-1,6.119867664E-2,-4.310801268E-2,1.680100827E-1
2.927938750E0,-1.319298131E-1,1.295063250E-2,-1.597739983E-1,2.076076227E-1
2.937978750E0,9.333544895E-3,5.242975350E-2,-1.794849622E-1,1.872187111E-1
2.948019750E0,4.742943395E-2,8.766094543E-2,-9.243336976E-2,1.359335146E-1
